valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2026-M04,month,CHFL,CHFL,all,agegroup_tick,all,34,9091674,0.37,52,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M05,month,CHFL,CHFL,all,agegroup_tick,all,65,9091674,0.71,117,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M06,month,CHFL,CHFL,all,agegroup_tick,all,126,9091674,1.39,243,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M07,month,CHFL,CHFL,all,agegroup_tick,all,103,9091674,1.13,346,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M08,month,CHFL,CHFL,all,agegroup_tick,all,25,9091674,0.27,371,NA,stagnant,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M03,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M04,month,CHFL,CHFL,all,agegroup_tick,all,2,NA,0.02,3,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M05,month,CHFL,CHFL,all,agegroup_tick,all,9,NA,0.11,22,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M06,month,CHFL,CHFL,all,agegroup_tick,all,30,NA,0.36,55,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M07,month,CHFL,CHFL,all,agegroup_tick,all,22,NA,0.27,77,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M08,month,CHFL,CHFL,all,agegroup_tick,all,8,NA,0.1,87,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M09,month,CHFL,CHFL,all,agegroup_tick,all,6,NA,0.07,98,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M10,month,CHFL,CHFL,all,agegroup_tick,all,7,NA,0.08,107,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M11,month,CHFL,CHFL,all,agegroup_tick,all,4,NA,0.05,111,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M12,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,112,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M03,month,CHFL,CHFL,all,agegroup_tick,all,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M04,month,CHFL,CHFL,all,agegroup_tick,all,4,NA,0.05,4,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M05,month,CHFL,CHFL,all,agegroup_tick,all,9,NA,0.11,23,NA,NA,NA,NA,NA,NA,NA,TRUE
